"PVWatts: Hourly PV Performance Data"
"Requested Location:","78249"
"Location:","SAN ANTONIO INTL AP, TX"
"Lat (deg N):","29.53"
"Long (deg W):","98.47"
"Elev (m):","247"
"DC System Size (kW):","4"
"Module Type:","Standard"
"Array Type:","Fixed (open rack)"
"Array Tilt (deg):","20"
"Array Azimuth (deg):","180"
"System Losses:","14"
"Invert Efficiency:","96"
"DC to AC Size Ratio:","1.1"
"Average Cost of Electricity Purchased from Utility ($/kWh):","0.09"
"Capacity Factor (%)","16.9"	

"Month","Day","Hour","Beam Irradiance (W/m^2)","Diffuse Irradiance (W/m^2)","Ambient Temperature (C)","Wind Speed (m/s)","Plane of Array Irradiance (W/m^2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"1","1","0","0","0","7.2","4.1","0","7.2","0","0"
"1","1","1","0","0","6.7","4.1","0","6.7","0","0"
"1","1","2","0","0","5.6","3.6","0","5.6","0","0"
"1","1","3","0","0","6.1","3.6","0","6.1","0","0"
"1","1","4","0","0","6.1","3.1","0","6.1","0","0"
"1","1","5","0","0","5","3.6","0","5","0","0"
"1","1","6","0","0","5","3.1","0","5","0","0"
"1","1","7","149","11","4.4","1.5","48.412","3.462","148.055","123.036"
"1","1","8","379","64","8.9","0","220.972","15.836","731.87","694.162"
"1","1","9","430","107","14.4","5.2","371.536","20.554","1273.439","1221.365"
"1","1","10","722","108","16.7","5.7","651.207","27.822","2189.528","2107.463"
"1","1","11","744","127","18.3","6.2","763.485","31.167","2540.939","2445.471"
"1","1","12","813","111","21.1","5.2","829.573","36.848","2688.34","2586.938"
"1","1","13","682","141","22.2","6.2","740.405","34.932","2420.966","2330.192"
"1","1","14","783","101","21.7","7.7","707.716","32.203","2334.415","2246.951"
"1","1","15","458","78","20.6","7.7","378.339","26.063","1268.917","1216.974"
"1","1","16","136","114","18.3","4.6","187.298","21.472","637.083","601.634"
"1","1","17","33","32","15","2.6","43.673","14.86","150.187","125.127"
"1","1","18","0","0","12.8","3.1","0","12.8","0","0"
"1","1","19","0","0","12.2","3.1","0","12.2","0","0"
"1","1","20","0","0","11.7","2.1","0","11.7","0","0"
"1","1","21","0","0","11.1","2.1","0","11.1","0","0"
"1","1","22","0","0","9.4","2.6","0","9.4","0","0"
"1","1","23","0","0","8.9","2.6","0","8.9","0","0"
"1","2","0","0","0","6.7","3.6","0","6.7","0","0"
"1","2","1","0","0","4.4","3.6","0","4.4","0","0"
"1","2","2","0","0","4.4","2.1","0","4.4","0","0"
"1","2","3","0","0","3.9","2.6","0","3.9","0","0"
"1","2","4","0","0","4.4","3.1","0","4.4","0","0"
"1","2","5","0","0","4.4","1.5","0","4.4","0","0"
"1","2","6","0","0","3.3","2.6","0","3.3","0","0"
"1","2","7","142","11","3.9","3.6","46.761","3.318","143.521","118.589"
"1","2","8","647","28","8.9","3.1","274.684","13.92","888.699","847.088"
"1","2","9","840","42","11.7","4.1","523.13","22.151","1762.659","1695.458"
"1","2","10","918","53","13.9","3.6","718.3","29.725","2389.697","2300.127"
"1","2","11","959","60","15","3.1","850.195","35.061","2774.622","2669.66"
"1","2","12","965","63","15.6","3.1","896.538","36.992","2902.647","2792.286"
"1","2","13","961","61","16.7","3.1","869.038","37.542","2803.485","2697.318"
"1","2","14","933","55","17.8","2.6","761.388","37.188","2448.813","2356.96"
"1","2","15","866","45","17.8","3.6","580.612","31.042","1892.967","1821.394"
"1","2","16","715","32","17.2","4.1","343.67","24.419","1093.316","1046.297"
"1","2","17","210","23","15","3.1","85.205","16.261","259.607","232.388"
"1","2","18","0","0","13.3","3.1","0","13.3","0","0"
"1","2","19","0","0","10.6","1.5","0","10.6","0","0"
"1","2","20","0","0","7.2","1.5","0","7.2","0","0"
"1","2","21","0","0","5","2.1","0","5","0","0"
"1","2","22","0","0","4.4","1","0","4.4","0","0"
"1","2","23","0","0","8.9","3.1","0","8.9","0","0"
"1","3","0","0","0","3.9","2.6","0","3.9","0","0"
"1","3","1","0","0","3.3","2.6","0","3.3","0","0"
"1","3","2","0","0","2.8","2.1","0","2.8","0","0"
"1","3","3","0","0","3.9","3.1","0","3.9","0","0"
"1","3","4","0","0","3.9","2.6","0","3.9","0","0"
"1","3","5","0","0","5.6","3.1","0","5.6","0","0"
"1","3","6","0","0","5.6","2.1","0","5.6","0","0"
"1","3","7","55","16","4.4","1.5","30.812","3.308","103.726","79.552"
"1","3","8","386","52","8.3","0","210.729","14.605","697.416","660.538"
"1","3","9","776","42","13.3","2.1","486.903","25.118","1618.257","1555.733"
"1","3","10","871","77","16.7","4.6","718.158","30.86","2377.49","2288.386"
"1","3","11","708","150","17.2","5.2","760.591","31.554","2527.033","2432.116"
"1","3","12","763","177","18.9","4.6","866.211","36.528","2812.343","2705.804"
"1","3","13","844","85","20.6","5.2","802.069","35.983","2608.149","2509.998"
"1","3","14","929","49","21.1","3.6","752.655","38.115","2409.665","2319.327"
"1","3","15","862","40","21.1","3.1","573.68","34.818","1836.366","1766.709"
"1","3","16","703","33","20.6","2.6","341.362","29.065","1063.916","1017.697"
"1","3","17","278","16","18.3","2.1","92.436","20.089","266.147","238.796"
"1","3","18","0","0","15.6","1","0","15.6","0","0"
"1","3","19","0","0","12.2","1.5","0","12.2","0","0"
"1","3","20","0","0","10.6","2.6","0","10.6","0","0"
"1","3","21","0","0","10","4.1","0","10","0","0"
"1","3","22","0","0","8.9","2.1","0","8.9","0","0"
"1","3","23","0","0","9.4","3.6","0","9.4","0","0"
"1","4","0","0","0","12.8","4.1","0","12.8","0","0"
"1","4","1","0","0","9.4","3.1","0","9.4","0","0"
"1","4","2","0","0","8.9","4.1","0","8.9","0","0"
"1","4","3","0","0","7.8","4.6","0","7.8","0","0"
"1","4","4","0","0","7.2","4.1","0","7.2","0","0"
"1","4","5","0","0","6.7","5.2","0","6.7","0","0"
"1","4","6","0","0","5.6","5.2","0","5.6","0","0"
"1","4","7","101","14","5.6","4.6","40.303","5.068","127.785","103.154"
"1","4","8","644","26","6.7","7.2","269.606","9.864","885.909","844.37"
"1","4","9","720","44","9.4","5.2","457.732","17.239","1578.229","1516.97"
"1","4","10","688","113","11.7","5.2","632.26","23.183","2173.113","2091.647"
"1","4","11","673","174","13.3","5.2","758.348","27.46","2570.057","2473.432"
"1","4","12","828","134","15","3.6","874.35","34.714","2863.968","2755.252"
"1","4","13","339","241","16.1","4.1","555.004","28.444","1874.808","1803.852"
"1","4","14","227","261","16.1","3.1","457.668","26.733","1556.495","1495.918"
"1","4","15","559","120","16.7","3.6","485.87","27.193","1623.539","1560.848"
"1","4","16","64","115","15.6","4.1","153.019","18.463","534.212","501.125"
"1","4","17","10","41","13.3","4.1","48.602","13.136","174.319","148.792"
"1","4","18","0","0","11.1","3.6","0","11.1","0","0"
"1","4","19","0","0","9.4","4.6","0","9.4","0","0"
"1","4","20","0","0","7.8","2.6","0","7.8","0","0"
"1","4","21","0","0","7.8","3.1","0","7.8","0","0"
"1","4","22","0","0","7.8","4.1","0","7.8","0","0"
"1","4","23","0","0","7.2","2.6","0","7.2","0","0"
"1","5","0","0","0","6.1","2.6","0","6.1","0","0"
"1","5","1","0","0","6.7","2.1","0","6.7","0","0"
